artist,weeks,,,,,,,
Lou Rawls,155,,,,,,,
Flo Rida,155,,,,,,,
Ashanti,155,,,,,,,
Jason Mraz,154,,,,,,,
Creedence Clearwater Revival,154,,,,,,,
Gene Chandler,153,,,,,,,
Bob Seger & The Silver Bullet Band,153,,,,,,,
Dustin Lynch,153,,,,,,,
Gwen Stefani,153,,,,,,,
Meghan Trainor,153,,,,,,,
K-Ci & JoJo,153,,,,,,,
Patti Page,153,,,,,,,
The Kingston Trio,152,,,,,,,
Motley Crue,152,,,,,,,
Christopher Cross,152,,,,,,,
Tony Toni Tone,152,,,,,,,
Booker T. & The MG's,151,,,,,,,
"The 4 Seasons Featuring the ""Sound of Frankie Valli""",151,,,,,,,
Kansas,151,,,,,,,
Faith Evans,151,,,,,,,
After 7,150,,,,,,,
Bread,150,,,,,,,
Martha & The Vandellas,150,,,,,,,
2Pac,150,,,,,,,
The Jacksons,150,,,,,,,
Cat Stevens,150,,,,,,,
Collective Soul,150,,,,,,,
The All-American Rejects,150,,,,,,,
John Michael Montgomery,149,,,,,,,
Third Eye Blind,149,,,,,,,
Blondie,148,,,,,,,
Eric Carmen,148,,,,,,,
Starship,148,,,,,,,
Peter, Paul & Mary,148,,,,,,
Paramore,147,,,,,,,
Melissa Manchester,147,,,,,,,
The Jets,147,,,,,,,
Pretenders,146,,,,,,,
Pearl Jam,146,,,,,,,
Thompson Twins,146,,,,,,,
Sonny & Cher,146,,,,,,,
Herb Alpert & The Tijuana Brass,145,,,,,,,
Phil Vassar,145,,,,,,,
Irene Cara,145,,,,,,,
Seal,145,,,,,,,
The Bangles,145,,,,,,,
Mac Davis,145,,,,,,,
Dusty Springfield,145,,,,,,,
Paul McCartney,144,,,,,,,
Staind,144,,,,,,,
Ronnie Dove,143,,,,,,,
Craig Morgan,143,,,,,,,
Gary Lewis And The Playboys,143,,,,,,,
Fergie,142,,,,,,,
Del Shannon,142,,,,,,,
Jennifer Lopez,142,,,,,,,
Lobo,141,,,,,,,
Brett Young,141,,,,,,,
Jeffrey Osborne,141,,,,,,,
Eddie Kendricks,141,,,,,,,
The Doors,140,,,,,,,
DaBaby,140,,,,,,,
Sade,140,,,,,,,
Enrique Iglesias,140,,,,,,,
Corey Hart,140,,,,,,,
Spice Girls,139,,,,,,,
Clay Walker,139,,,,,,,
Stevie Nicks,139,,,,,,,
Ray Charles and his Orchestra,139,,,,,,,
Atlanta Rhythm Section,139,,,,,,,
Herb Alpert,139,,,,,,,
Jack Jones,138,,,,,,,
